VERTICES;ARISTAS;TIEMPO;CORTE;;;VERTICES;TIEMPO
494;586;0,0784924;30;;;494;0,0784924
494;586;0,0341233;30;;;494;0,0341233
662;906;0,0671756;63;;;662;0,0671756
662;906;0,059098;63;;;662;0,059098
685;1282;0,0980007;74;;;685;0,0980007
130;715;0,0113386;378;;;130;0,0113386
292;958;0,046776;62;;;292;0,046776
85;219;0,0018864;23;;;85;0,0018864
39;46;0,0004832;5;;;39;0,0004832
49;59;0,0004863;8;;;49;0,0004863
118;179;0,0021399;19;;;118;0,0021399
274;669;0,0245136;61;;;274;0,0245136
443;590;0,0417691;33;;;443;0,0417691
48;176;0,0012167;50;;;48;0,0012167
66;2145;0,013923;1089;;;66;0,013923
132;1758;0,0253171;464;;;132;0,0253171
153;1135;0,0128885;150;;;153;0,0128885
420;3720;0,1656645;450;;;420;0,1656645
467;1295;0,0463047;37;;;467;0,0463047
110;254;0,003247;17;;;110;0,003247
420;3416;0,1597745;453;;;420;0,1597745
144;576;0,0073433;27;;;144;0,0073433
161;608;0,0242927;50;;;161;0,0242927
292;1124;0,0367387;201;;;292;0,0367387
445;1682;0,112063;163;;;445;0,112063
54;124;0,000959;26;;;54;0,000959
209;767;0,0163931;81;;;209;0,0163931
221;704;0,0094208;39;;;221;0,0094208
117;162;0,0019512;13;;;117;0,0019512
245;608;0,0201817;43;;;245;0,0201817
310;1069;0,0377656;50;;;310;0,0377656
361;1296;0,0530013;54;;;361;0,0530013
419;1572;0,0568842;140;;;419;0,0568842
503;2762;0,099989;252;;;503;0,099989
592;2256;0,1900525;162;;;592;0,1900525
183;701;0,0116805;393;;;183;0,0116805
541;2466;0,1158981;564;;;541;0,1158981
680;1464;0,0990234;170;;;680;0,0990234
104;549;0,0049633;111;;;104;0,0049633
216;660;0,0149573;82;;;216;0,0149573
115;267;0,0030264;54;;;115;0,0030264
185;650;0,0118161;61;;;185;0,0118161
343;1092;0,0332766;116;;;343;0,0332766
512;1680;0,1087389;220;;;512;0,1087389
434;2138;0,1475836;201;;;434;0,1475836
32;90;0,0006483;35;;;32;0,0006483
206;557;0,0254941;100;;;206;0,0254941
59;281;0,0016368;122;;;59;0,0016368
137;352;0,0043028;96;;;137;0,0043028
425;1267;0,057965;113;;;425;0,057965
225;1187;0,0212305;268;;;225;0,0212305
123;275;0,0027115;44;;;123;0,0027115
503;1425;0,0705538;189;;;503;0,0705538
147;1151;0,012567;248;;;147;0,012567
147;1147;0,0143468;232;;;147;0,0143468
487;41686;2,7830798;24751;;;487;2,7830798
168;1662;0,0197693;419;;;168;0,0197693
261;794;0,0171901;60;;;261;0,0171901
666;2148;0,1484281;116;;;666;0,1484281
158;312;0,0168224;4;;;158;0,0168224
638;1272;0,0638281;4;;;638;0,0638281
100;247;0,0016684;14;;;100;0,0016684
468;2352;0,0925685;365;;;468;0,0925685
675;1290;0,1672787;40;;;675;0,1672787
362;2712;0,1548103;243;;;362;0,1548103
362;880;0,0551815;44;;;362;0,0551815
30;103;0,0005855;20;;;30;0,0005855
456;1769;0,1164906;45;;;456;0,1164906
238;445;0,0771576;27;;;238;0,0771576
681;1373;0,2901087;80;;;681;0,2901087
546;1341;0,1107411;52;;;546;0,1107411
663;1720;0,4627974;546;;;663;0,4627974
663;1709;0,2329246;535;;;663;0,2329246
663;1682;0,1755882;527;;;663;0,1755882
240;1761;0,0337432;272;;;240;0,0337432
600;6580;0,31619;436;;;600;0,31619
80;424;0,0030685;20;;;80;0,0030685
363;3049;0,0858945;907;;;363;0,0858945
363;3244;0,1267485;863;;;363;0,1267485
363;3244;0,1001809;863;;;363;0,1001809
363;2446;0,0781638;720;;;363;0,0781638
132;404;0,0043074;130;;;132;0,0043074
156;371;0,0040843;68;;;156;0,0040843
167;489;0,0079109;93;;;167;0,0079109
381;2150;0,0629832;830;;;381;0,0629832
479;1889;0,0676563;454;;;479;0,0676563
497;1715;0,0541713;518;;;497;0,0541713
655;2841;0,1306282;675;;;655;0,1306282
199;660;0,009513;169;;;199;0,009513
57;127;0,0006716;19;;;57;0,0006716
