VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,0403317;199
494;586;0,0402661;221
662;906;0,0589337;196
685;1282;0,0904277;406
130;715;0,0162686;189
292;958;0,1007303;346
85;219;0,0145473;2
39;46;0,0044314;2
49;59;0,0086062;2
118;179;0,057871;0
274;669;0,0493197;313
443;590;0,0416403;128
48;176;0,003267;0
132;1758;0,0114378;927
153;1135;0,0167886;514
420;3720;0,0864384;637
467;1295;0,1412601;405
110;254;0,0119644;43
420;3416;0,0462688;613
144;576;0,01651;223
161;608;0,0115411;292
292;1124;0,0257719;445
445;1682;0,0442824;858
54;124;0,0035802;0
209;767;0,0178938;308
221;704;0,020805;298
117;162;0,0104531;0
245;608;0,0232649;203
310;1069;0,0299359;351
361;1296;0,0332219;382
419;1572;0,0402867;627
503;2762;0,0487591;1247
592;2256;0,0545883;1017
183;701;0,0159874;241
541;2466;0,0906149;1167
680;1464;0,0602861;697
104;549;0,0108051;295
216;660;0,0283244;105
115;267;0,011322;131
185;650;0,0160833;316
343;1092;0,0278684;152
512;1680;0,0570514;218
434;2138;0,0412849;565
32;90;0,0022639;2
206;557;0,0180646;269
59;281;0,0069221;0
137;352;0,012826;182
425;1267;0,0431312;534
225;1187;0,0252336;695
123;275;0,0112459;48
503;1425;0,0445559;310
147;1151;0,0191036;520
147;1147;0,018193;587
487;41686;0,1758291;19286
168;1662;0,0174033;944
261;794;0,0228502;452
666;2148;0,0647193;936
158;312;0,0110753;36
638;1272;0,0519785;187
100;247;0,0071208;118
468;2352;0,0664856;1111
675;1290;0,0564694;207
362;2712;0,0470069;1153
362;880;0,0302252;137
30;103;0,0021487;0
456;1769;0,0451384;788
238;445;0,0262344;77
681;1373;0,056771;194
546;1341;0,0536433;184
663;1720;0,0765249;878
663;1709;0,0927831;848
663;1682;0,0611813;873
240;1761;0,0223635;873
600;6580;0,0689809;3295
80;424;0,0124454;1
363;3049;0,042847;58
363;3244;0,043356;51
363;3244;0,0408399;51
363;2446;0,0475894;44
132;404;0,0134294;122
156;371;0,0151163;158
167;489;0,0159479;240
381;2150;0,0393716;939
479;1889;0,047246;861
497;1715;0,042611;555
655;2841;0,0726067;1378
199;660;0,0166776;294
57;127;0,0041753;0
